NUMBER,NAME,DESKV,TYPE,INSTALL_DATE,FEET,MILES,OPCO,EAS_NUM,STATUS,OWNER,OBJECTID
110A,Arsenal Hill - Linwood,138 kV,Line,1976/12/31,26689,5.055,Southwestern Electric Power (LA),TLN194:0110A,In service,AEP - SEP non-TX,289950
110B,Fort Humbug - South Shreveport,138 kV,Line,1975/12/31,55555,10.522,Southwestern Electric Power (LA),TLN194:0110B,In service,AEP - SEP non-TX,289966
110C,Linwood - South Shreveport,138 kV,Line,1953/12/31,14156,2.681,Southwestern Electric Power (LA),TLN194:0110C,In service,AEP - SEP non-TX,289982
111A,Hosston - Bloomburg (LA),69 kV,Line,1900/01/01,62078,11.757,Southwestern Electric Power (LA),TLN194:0111A,In service,AEP - SEP non-TX,298318
112A,Midway - Summer Grove,69 kV,Line,1941/12/31,40938,7.753,Southwestern Electric Power (LA),TLN194:0112A,In service,AEP - SEP non-TX,298814
112B,Seventieth Street Tap,69 kV,Tap,1956/12/31,23536,4.458,Southwestern Electric Power (LA),TLN194:0112B,In service,AEP - SEP non-TX,290030
113B,Jefferson - Superior (LA),69 kV,Line,1927/12/31,54016,10.230,Southwestern Electric Power (LA),TLN194:0113B,In service,AEP - SEP non-TX,305710
114A,Arsenal Hill - North Market,138 kV,Line,1959/12/31,13841,2.621,Southwestern Electric Power (LA),TLN194:0114A,In service,AEP - SEP non-TX,406622
114B,Arsenal Hill - Waterworks,138 kV,Line,1941/12/31,13522,2.561,Southwestern Electric Power (LA),TLN194:0114B,In service,AEP - SEP non-TX,407902
114D,Broadmoor - Pierremont,69 kV,Line,1958/12/31,10755,2.037,Southwestern Electric Power (LA),TLN194:0114D,In service,AEP - SEP non-TX,290126
114E,Brooks Street - Edwards Street,138 kV,Line,2017/09/17,4330,0.820,Southwestern Electric Power (LA),TLN194:00376,In service,AEP - SEP non-TX,299742
114F,Edwards Street - Fort Humbug,69 kV,Line,1948/12/31,5066,0.959,Southwestern Electric Power (LA),TLN194:0114F,In service,AEP - SEP non-TX,299726
114G,Ellerbe Road - Fern Street,69 kV,Line,1950/12/31,12448,2.358,Southwestern Electric Power (LA),TLN194:0114G,In service,AEP - SEP non-TX,298894
114J,Fern Street - Pierremont,69 kV,Line,1950/12/31,1434,0.272,Southwestern Electric Power (LA),TLN194:0114J,In service,AEP - SEP non-TX,298910
114K,Forbing Road Tap,69 kV,Tap,1963/12/31,822,0.156,Southwestern Electric Power (LA),TLN194:0114K,In service,AEP - SEP non-TX,290142
114L,Hardy Street - Midway,69 kV,Line,1941/12/31,6167,1.168,Southwestern Electric Power (LA),TLN194:0114L,In service,AEP - SEP non-TX,298798
114M,Hardy Street - Waterworks,138 kV,Line,2015/06/24,8675,1.643,Southwestern Electric Power (LA),TLN194:0114M,In service,AEP - SEP non-TX,298782
115A,Minden Road - Shed Road,69 kV,Line,1951/12/31,9232,1.749,Southwestern Electric Power (LA),TLN194:0115A,In service,AEP - SEP non-TX,290174
117A,Lieberman - Superior,69 kV,Line,1951/12/31,38731,7.335,Southwestern Electric Power (LA),TLN194:0117A,In service,AEP - SEP non-TX,290206
118A,Finney Tap,69 kV,Tap,1900/01/01,2095,0.397,Southwestern Electric Power (LA),TLN194:0118A,In service,AEP - SEP non-TX,290222
118B,Lucas - Wallace Lake,69 kV,Line,1952/12/31,27596,5.227,Southwestern Electric Power (LA),TLN194:0118B,In service,AEP - SEP non-TX,290238
119A,Trichel Street - Whitehurst,138 kV,Line,1951/12/31,23852,4.517,Southwestern Electric Power (LA),TLN194:0119A,In service,AEP - SEP non-TX,298846
119B,Trichel Tap - Trichel,138 kV,Tap,1971/12/31,9860,1.867,Southwestern Electric Power (LA),TLN194:0119B,In service,AEP - SEP non-TX,290270
120A,Flournoy - Summer Grove,69 kV,Line,1958/12/31,49256,9.329,Southwestern Electric Power (LA),TLN194:0120A,In service,AEP - SEP non-TX,290286
120B,Flournoy - Waskom (LA),69 kV,Line,1958/12/31,50047,9.479,Southwestern Electric Power (LA),TLN194:0120B,In service,AEP - SEP non-TX,300750
120B,Flournoy - Waskom (TX),69 kV,Line,1958/12/31,962,0.182,Southwestern Electric Power (TX,TLN194:0120B,In service,AEP - SEP TX,306398
121A,Blanchard - North Market,69 kV,Line,1960/12/31,67768,12.835,Southwestern Electric Power (LA),TLN194:0121A,In service,AEP - SEP non-TX,290350
124A,Calumet - Getty Oil ,69 kV,Line,1970/12/31,25422,4.815,Southwestern Electric Power (LA),TLN194:0124A,In service,AEP - SEP non-TX,298446
124B,J.D. Ward Tap,69 kV,Tap,1980/12/31,1987,0.376,Southwestern Electric Power (LA),TLN194:0124B,In service,AEP - SEP non-TX,300574
127A,Lieberman - Longwood,138 kV,Line,1945/12/31,50996,9.658,Southwestern Electric Power (LA),TLN194:0127A,In service,AEP - SEP non-TX,290430
129A,Southwest Shreveport Tap,138 kV,Tap,1972/12/31,12656,2.397,Southwestern Electric Power (LA),TLN194:0129A,In service,AEP - SEP non-TX,290478
130A,Flournoy - Longwood,138 kV,Line,1956/12/31,64593,12.233,Southwestern Electric Power (LA),TLN194:0130A,In service,AEP - SEP non-TX,290510
130B,General Motors - Southwest Shreveport,138 kV,Line,1956/12/31,23018,4.359,Southwestern Electric Power (LA),TLN194:0130B,In service,AEP - SEP non-TX,290526
130C,South Shreveport - Western Electric,138 kV,Line,1954/12/31,28751,5.445,Southwestern Electric Power (LA),TLN194:0130C,In service,AEP - SEP non-TX,290542
130D,Southwest Shreveport - Western Electric,138 kV,Line,1956/12/31,22063,4.179,Southwestern Electric Power (LA),TLN194:0130D,In service,AEP - SEP non-TX,290558
131A,Wallace Lake - Mansfield (CLECO),138 kV,Line,1962/12/31,37928,7.183,Southwestern Electric Power (LA),TLN194:0131A,In service,AEP - SEP non-TX,290590
